speaker_standardized,speaker_proper,speaker_title,speaker_title_abbr,speaker_group,speaker_affiliation,speaker_affiliation_abbr,speaker_id_web,n_interventions,n_speaking_days
daniel sheppard,Dan Sheppard,Senior Counsel,,counsel,Public Order Emergency Commission,POEC,dan-sheppard,5,2
darrell kloeze,Darrell Kloeze,Counsel,,counsel,Government of Ontario,ON,darrell-kloeze,17,1
david migicovsky,David Migicovsky,Counsel,,counsel,Ottawa Police Service / City of Ottawa,Ott-OPS,david-migicovsky,1679,22
david shiroky,David Shiroky,Counsel,,counsel,Government of Canada,GC,david-shiroky,52,3
david vigneault,David Vigneault,Director,,witness,Canadian Security Intelligence Service / Government of Canada,GC-CSIS,david-vigneault,236,2
deputy chief jason crowley,Jason Crowley,Deputy Chief,,witness,Windsor Police Service / City of Windsor,Win-WPS,jason-crowley,456,1
deputy pm chrystia freeland,Chrystia Freeland,Deputy Prime Minister,,witness,Finance / Government of Canada,GC-FIN,chrystia-freeland,346,1
diane deans,Diane Deans,Councillor,,witness,City of Ottawa,Ott,diane-deans,652,2
dm. michael keenan,Michael Keenan,Deputy Minister,,witness,Transport / Government of Canada,GC-TC,michael-keenan,333,1
dm. michael sabia,Michael Sabia,Deputy Minister,,witness,Finance / Government of Canada,GC-FIN,michael-sabia,226,1
dm. robert stewart,Rob Stewart,Deputy Minister,,witness,Public Safety / Government of Canada,GC-PS,rob-stewart,523,1
donnaree nygard,Donnaree Nygard,Counsel,,counsel,Government of Canada,GC,donnaree-nygard,419,8
dsg. mario di tommaso,Mario Di Tommaso,Deputy Solicitor General,DSG,witness,Solicitor General / Government of Ontario,ON-SolGen,mario-di-tommaso,1105,2
emilie taman,Emilie Taman,Counsel,,counsel,Ottawa Coalition of Residents and Businesses,,emilie-taman,171,9
eric brousseau,Eric Brousseau,Counsel,,counsel,Public Order Emergency Commission,POEC,eric-brousseau,924,11
étienne lacombe,Étienne Lacombe,Counsel,,counsel,Public Order Emergency Commission,POEC,etienne-lacombe,2,1
eva chipiuk,Eva Chipiuk,Counsel,,counsel,Convoy Organizers,,eva-chipiuk,32,2
ewa krajewska,Ewa Krajewska,Counsel,,counsel,Canadian Civil Liberties Association,CCLA,ewa-krajewska,393,11
frank au,Frank Au,Senior Counsel,,counsel,Public Order Emergency Commission,POEC,frank-au,2101,8
gabriel poliquin,Gabriel Poliquin,Senior Counsel,,counsel,Public Order Emergency Commission,POEC,gabriel-poliquin,74,1
gordon cameron,Gordon Cameron,Senior Counsel,,counsel,Public Order Emergency Commission,POEC,gordon-cameron,932,6
graham reeder,Graham Reeder,Counsel,,counsel,City of Windsor,Win,graham-reeder,58,4
greg delbigio,Greg DelBigio,Counsel,,counsel,CLA/CCCDL/CAD,,greg-delbigio,40,3
guillaume sirois-gingras,Guillaume Sirois,Counsel,,counsel,Public Order Emergency Commission,POEC,guillaume-sirois,62,1
hana laura yamamoto,Hana Laura Yamamoto,Counsel,,counsel,Government of Alberta,AB,hana-laura-yamamoto,25,1
hatim kheir,Hatim Kheir,Counsel,,counsel,Democracy Fund / Citizens for Freedom / JCCF Coalition,,hatim-kheir,228,9
heather paterson,Heather Paterson,Counsel,,counsel,Windsor Police Service / City of Windsor,Win-WPS,heather-paterson,56,7
insp. russell lucas,Russell Lucas,Inspector,Insp,witness,Ottawa Police Service / City of Ottawa,Ott-OPS,russell-lucas,369,1
interim chief steve bell,Steve Bell,Interim Chief,,witness,Ottawa Police Service / City of Ottawa,Ott-OPS,steve-bell,839,1
jacqueline bogden,Jacquie Bogden,?TBC?,,witness,Privy Council Office / Government of Canada,GC-PCO,jacquie-bogden,270,1
james bauder,James Bauder,,,witness,?TBC?,,james-bauder,542,1
janani shanmuganathan,Janani Shanmuganathan,Counsel,,counsel,Canadian Constitution Foundation,CCF,janani-shanmuganathan,128,4
jane scharf,Jane Scharf,Counsel,,counsel,Brigitte Belton,,jane-scharf,93,1
janice charette,Janice Charette,Clerk of the Privy Council,,witness,Privy Council Office / Government of Canada,GC-PCO,janice-charette,361,1
jason beitchman,Jason Beitchman,Counsel,,counsel,National Crowdfunding and Fintech Association,,jason-beitchman,2,1
jean-simon schoenholz,Jean-Simon Schoenholz,Counsel,,counsel,Public Order Emergency Commission,POEC,jean-simon-schoenholz,1153,6
jeffery hutchinson,Jeff Hutchinson,?TBC?,,witness,Privy Council Office / Government of Canada,GC-PCO,jeff-hutchinson,31,1
jeffrey leon,Jeffrey Leon,Co-lead Counsel,,counsel,Public Order Emergency Commission,POEC,jeffrey-leon,884,7
jen del riccio,Jen Del Riccio,Counsel,,counsel,National Police Federation,,jen-del-riccio,1,1
jennifer king,Jennifer L. King,Counsel,,counsel,City of Windsor,Win,jennifer-l-king,491,15
jeremy mackenzie,Jeremy MacKenzie,,,witness,?TBC?,,jeremy-mackenzie,305,1
jessica barrow,Jessica Barrow,Counsel,,counsel,Ottawa Police Service / City of Ottawa,Ott-OPS,jessica-barrow,520,13
jim karahalios,Jim Karahalios,Counsel,,counsel,Benjamin Dichter,,jim-karahalios,87,1
jinan kubursi,Jinan Kubursi,Counsel,,counsel,Ontario Provincial Police / Government of Ontario,ON-OPP,jinan-kubursi,111,7
jody thomas,Jody Thomas,?TBC?,NSIA,witness,Privy Council Office / Government of Canada,GC-PCO,jody-thomas,488,1
john brodhead,John Brodhead,,,witness,Prime Minister’s Office / Government of Canada,GC-PMO,john-brodhead,45,1
john mather,John Mather,Counsel,,counsel,Public Order Emergency Commission,POEC,john-mather,1215,12
john ossowski,John Ossowski,former President,DM,witness,Canadian Border Services Agency / Government of Canada,GC-CBSA,john-ossowski,476,1
joseph comartin,Joe Comartin,?TBC?,,witness,Global Affairs / Government of Canada,GC-GAC,joe-comartin,41,1
katherine telford,Katie Telford,,,witness,Prime Minister’s Office / Government of Canada,GC-PMO,katie-telford,175,1
kathleen tanner,Kathleen Tanner,Counsel,,counsel,Government of Canada,GC,kathleen-tanner,8,1
keith wilson,Keith Wilson,,,witness,?TBC?,,keith-wilson,361,2
kenneth weatherill,Kenneth Weatherill,?TBC?,,witness,Solicitor General / Government of Ontario,ON-SolGen,kenneth-weatherill,81,1
kevin mchale,Kevin McHale,,,witness,?TBC?,,kevin-mchale,115,1
kim ayotte,Kim Ayotte,?TBC?,,witness,City of Ottawa,Ott,kim-ayotte,269,1
lani rouillard,Lani Rouillard,Counsel,,counsel,Paul Leschied,,lani-rouillard,41,1
lauren pearce,Lauren Pearce,Counsel,,counsel,National Police Federation,,lauren-pearce,73,9
mandy england,Mandy England,Counsel,,counsel,Government of Alberta,AB,mandy-england,91,9
margaret hope-braun,Maggie Hope Braun,,,witness,?TBC?,,maggie-hope-braun,109,1
marie-hélène chayer,Marie-Hélène Chayer,?TBC?,,witness,Integrated Terrorism Assessment Centre / Government of Canada,GC-ITAC,marie-helene-chayer,29,1
martin rejman,Martin Rejman,Counsel,,counsel,Marco Van Huigenbos,,martin-rejman,28,1
mayor drew dilkens,Drew Dilkens,Mayor,,witness,City of Windsor,Win,drew-dilkens,504,1
mayor jim watson,Jim Watson,Mayor,,witness,City of Ottawa,Ott,jim-watson,601,1
mayor jimmy willett,Jim Willett,Mayor,,witness,Coutts,,jim-willett,285,1
michael finley,Michael Finley,Counsel,,counsel,City of Windsor,Win,michael-finley,15,1
michael morris,Michael J. Morris,Counsel,,counsel,Government of Saskatchewan,SK,michael-j-morris,303,9
michelle tessier,Michelle Tessier,?TBC?,,witness,Canadian Security Intelligence Service / Government of Canada,GC-CSIS,michelle-tessier,117,1
minister anita anand,Anita Anand,Minister,,witness,National Defence / Government of Canada,GC-DND,anita-anand,120,1
minister david lametti,David Lametti,Minister,,witness,Finance / Government of Canada,GC-FIN,david-lametti,385,1
minister dominic leblanc,Dominic LeBlanc,Minister,,witness,Intergovernmental Affairs / Government of Canada,GC-IGA,dominic-leblanc,210,1
minister marco mendicino,Marco Mendicino,Minister,,witness,Public Safety / Government of Canada,GC-PS,marco-mendicino,471,1
minister omar alghabra,Omar Alghabra,Minister,,witness,Transport / Government of Canada,GC-TC,omar-alghabra,143,1
minister william blair,Bill Blair,Minister,,witness,Emergency Preparedness / Government of Canada,GC-PS,bill-blair,467,1
misha boutilier,Misha Boutilier,Counsel,,counsel,Public Order Emergency Commission,POEC,misha-boutilier,146,1
mitch mcadam,P. Mitch McAdam,Counsel,,counsel,Government of Saskatchewan,SK,p-mitch-mcadam,184,7
natalia rodriguez,Natalia Rodriguez,Senior Counsel,,counsel,Public Order Emergency Commission,POEC,natalia-rodriguez,2301,9
natasha calvinho,Natasha Calvinho,Counsel,,counsel,Patrick King,,natasha-calvinho,4,1
nathalie carrier,Nathalie Carrier,,,witness,?TBC?,,nathalie-carrier,236,1
nathalie drouin,Nathalie Drouin,Deputy Clerk of the Privy Council,,witness,Privy Council Office / Government of Canada,GC-PCO,nathalie-drouin,186,1
nicolas st-pierre,Nicolas St-Pierre,Counsel,,counsel,Steeve Charland,,nicolas-st-pierre,3,1
nikolas de stefano,Nikolas De Stefano,Counsel,,counsel,Peter Sloly,,nikolas-de-stefano,77,6
nini jones,Nini Jones,Counsel,,counsel,National Police Federation,,nini-jones,95,6
nusra khan,Nusra Khan,Counsel,,counsel,Public Order Emergency Commission,POEC,nusra-khan,71,2
patrick king,Patrick King,,,witness,?TBC?,,patrick-king,236,1
paul champ,Paul Champ,Counsel,,counsel,Ottawa Coalition of Residents and Businesses,,paul-champ,1468,19
paul leschied,Paul Leschied,,,witness,?TBC?,,paul-leschied,323,1
peter sloly,Peter Sloly,former Chief,,witness,Ottawa Police Service / City of Ottawa,Ott-OPS,peter-sloly,1578,2
prime minister justin trudeau,Justin Trudeau,Prime Minister,,witness,Prime Minister’s Office / Government of Canada,GC-PMO,justin-trudeau,442,1
prof. ryan alford,Ryan Alford,Professor,,counsel,Canadian Constitution Foundation,CCF,ryan-alford,2,1
rebecca jones,Rebecca Jones,Counsel,,counsel,Peter Sloly,,rebecca-jones,607,11
rebecca shepherd,Rebecca Shepherd,,,counsel,Brigitte Belton,,rebecca-shepherd,4,1
rob kittredge,Rob Kittredge,Counsel,,counsel,Democracy Fund / Citizens for Freedom / JCCF Coalition,,rob-kittredge,483,17
robert mackinnon,Robert MacKinnon,Counsel,,counsel,Government of Canada,GC,robert-mackinnon,286,8
ryann atkins,Ryann Atkins,Counsel,,counsel,Government of Canada,GC,ryann-atkins,60,1
sajeda hedaraly,Sajeda Hedaraly,Counsel,,counsel,Public Order Emergency Commission,POEC,sajeda-hedaraly,78,2
serge arpin,Serge Arpin,Chief of Staff,,witness,City of Ottawa,Ott,serge-arpin,492,1
shantona chaudhury,Shantona Chaudhury,Co-lead Counsel,,counsel,Public Order Emergency Commission,POEC,shantona-chaudhury,1167,7
sherif foda,Sherif Foda,Counsel,,counsel,Jeremy MacKenzie,,sherif-foda,65,1
steeve charland,Steeve Charland,,,witness,?TBC?,,steeve-charland,324,1
stephanie bowes,Stephanie Bowes,Counsel,,counsel,Government of Alberta,AB,stephanie-bowes,277,14
stephen armstrong,Stephen Armstrong,Counsel,,counsel,Public Order Emergency Commission,POEC,stephen-armstrong,125,4
stephen aylward,Stephen Aylward,Counsel,,counsel,Government of Canada,GC,stephen-aylward,113,4
steve kanellakos,Steve Kanellakos,City Manager,,witness,City of Ottawa,Ott,steve-kanellakos,722,1
sujit choudhry,Sujit Choudhry,Counsel,,counsel,Canadian Constitution Foundation,CCF,sujit-choudhry,386,11
supt. craig abrams,Craig Abrams,Superintendent,Supt,witness,Ontario Provincial Police / Government of Ontario,ON-OPP,craig-abrams,663,2
supt. dana earley,Dana Earley,Superintendent,Supt,witness,Ontario Provincial Police / Government of Ontario,ON-OPP,dana-earley,673,1
supt. patrick morris,Pat Morris,Superintendent,Supt,witness,Ontario Provincial Police / Government of Ontario,ON-OPP,pat-morris,329,1
supt. robert bernier,Robert Bernier,Superintendent,Supt,witness,Ottawa Police Service / City of Ottawa,Ott-OPS,robert-bernier,921,2
supt. robert drummond,Robert Drummond,Superintendent,Supt,witness,Ottawa Police Service / City of Ottawa,Ott-OPS,robert-drummond,619,1
tamara lich,Tamara Lich,,,witness,?TBC?,,tamara-lich,663,2
the clerk,The Clerk,,,commission,Public Order Emergency Commission,POEC,the-clerk,67,17
the registrar,The Registrar,,,commission,Public Order Emergency Commission,POEC,the-registrar,499,31
thomas mcrae,Thomas McRae,Counsel,,counsel,Windsor Police Service / City of Windsor,Win-WPS,thomas-mcrae,132,11
tom curry,Tom Curry,Counsel,,counsel,Peter Sloly,,tom-curry,1754,27
tom marazzo,Tom Marazzo,,,witness,?TBC?,,tom-marazzo,336,1
unidentified speaker,Unidentified speaker,,,other,,,unidentified-speaker,42,17
victor ryan,Victor Ryan,Counsel,,counsel,Government of Canada,GC,victor-ryan,61,1
victoria de la ronde,Victoria De La Ronde,,,witness,?TBC?,,victoria-de-la-ronde,57,1
zexi li,Zexi Li,,,witness,?TBC?,,zexi-li,158,1
